role,com_name,experience,salary,location
Data Scientist Intern,Pivotchain,Not Provided,Unpaid,Pune
Data Scientist Intern,Codemaya,Not Provided,"20,000/month",Lucknow
Data Scientist Intern,Clustor Computing,Not Provided,Unpaid,Nagpur
Data Scientist Intern,Point Perfect Transcription Services,Not Provided,Unpaid,Coimbatore
Data Scientist Intern,rigbot.com,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,TechVantage,Not Provided,Unpaid,Thiruvananthapuram
Data Scientist Intern,Dendrite,Not Provided,Unpaid,Pune
Data Scientist Intern,SoulPage IT,Not Provided,Unpaid,Hyderabad
Data Scientist Intern,ARP Investments,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,Krayo,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,Aichunks,Not Provided,Unpaid,Chandigarh
Data Scientist Intern,IOTA Academy,Not Provided,Unpaid,Remote
Data Scientist Intern,Keyloop,Not Provided,Unpaid,Hyderabad
Data Scientist Intern,Saveo,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Datacrew Education Group Id,Not Provided,Unpaid,Chennai
Data Scientist Intern,Stylumia,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Yoshops,Not Provided,Unpaid,Chennai
Data Scientist Intern,Curem Biotech,Not Provided,Unpaid,Pune
Data Scientist Intern,Aera Software Technology,Not Provided,Unpaid,Pune
Data Scientist Intern,Nanobi Data & Analytics,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Meesho,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Mactores Cognition,Not Provided,Unpaid,Mumbai
Data Scientist Intern,Bayer Zydus Pharma,Not Provided,Unpaid,Thane
Data Scientist Intern,Wahy Lab Solutions,Not Provided,Unpaid,Ernakulam
Data Scientist Intern,Aryavart Institute Of Technology,Not Provided,Unpaid,"Patna, Kanpur, New Delhi, Supaul"
Data Scientist Intern,Slash Mark,Not Provided,Unpaid,Remote
Data Scientist Intern,Krishna Technologies,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Xiotz,Not Provided,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Intern,Antarctica Global,Not Provided,"12,000/month",Mumbai
Data Scientist Intern,Heart It Out,Not Provided,Unpaid,Remote
Data Scientist Intern,EVERSANA India Pvt. Ltd,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,McKinsey Company,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Signa Tech Services,Not Provided,Unpaid,Chennai
Data Scientist Intern,Viga Entertainment Technology,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Nimesa Technology,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Codemonk,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Artpark,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Museum Of Art And Photography,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Inspironlabs Software Systems,Not Provided,"5,000/month",Bengaluru
Data Scientist Intern,Aryma Labs,Not Provided,Unpaid,"Hyderabad, Ahmedabad, Bengaluru"
Data Scientist Intern,Tems Tech Solutions,Not Provided,Unpaid,Tirunelveli
Data Scientist Intern,KiE Square,Not Provided,Unpaid,Remote
Data Scientist Intern,Datacouch,Not Provided,Unpaid,Mohali
Data Scientist Intern,Jhana,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Center Study Science Technology Policy,Not Provided,Unpaid,Bengaluru
Data Scientist Intern,Workoopolis,Not Provided,Unpaid,Hyderabad
Data Scientist Intern,Vkaps It Solutions,Not Provided,Unpaid,Indore
Data Scientist Intern,Sanswai Technologies,Not Provided,Unpaid,Pune
Data Scientist Intern,Pinnacle Seven Technologies,Not Provided,Unpaid,Mumbai
Data Scientist Intern,Tenacious Techies,Not Provided,Unpaid,Surat
Data Scientist Intern,Tecell,Not Provided,Unpaid,Remote
Data Scientist Intern,Copper Mobile,Not Provided,Unpaid,Gurugram
Data Scientist Intern,Facile Services,Not Provided,Unpaid,Pune
Data Scientist Intern,Viavi Solutions,Not Provided,Unpaid,Chennai
Data Scientist Intern,Codersarts,Not Provided,Unpaid,Noida
Data Scientist Intern,Capital Market Publishers,Not Provided,Unpaid,"Mumbai, Chennai"
Data Scientist Intern,First Soft Solutions,Not Provided,Unpaid,Chennai
Data Scientist Intern,DecisionNxt,Not Provided,Unpaid,Mumbai
Data Scientist Associate,IBM,2-4 Yrs,Not disclosed,Bengaluru
Data Scientist Associate,Recruitrix Technologies LLP,2-4 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,JPMorgan Chase Bank,2-7 Yrs,Not disclosed,Bengaluru
Data Scientist Associate,Wipro,4-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Wipro,6-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Wipro,2-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Atyeti,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Leading Client,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,CARBYNETECH,3-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,CARBYNETECH,8-12 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Varsity Education Management,2-5 Yrs,2-5 Lacs PA,Hyderabad(Madhapur)
Data Scientist Associate,Capgemini,3-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Option Matrix,2-5 Yrs,7-10 Lacs PA,Hyderabad
Data Scientist Associate,Wipro,8-13 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,CARBYNETECH,3-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,CARBYNETECH,6-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,CARBYNETECH,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Carbynetech India Pvt Ltd,3-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,ADQ Services,1-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,ADQ Services,4-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,S&P Global Inc.,8-13 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Futurism Technologies,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Rightmark Hr,4-9 Yrs,25-32.5 Lacs PA,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)"
Data Scientist Associate,Carbynetech India Pvt Ltd,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,7-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Quadrant Technologies,3-7 Yrs,Not disclosed,"Hyderabad, Bengaluru"
Data Scientist Associate,Aeries Technology,5-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Pennant Technologies,3-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Reputed IT Company,5-9 Yrs,8-16 Lacs PA,"Kolkata, Hyderabad, Bengaluru"
Data Scientist Associate,Firstsource,1-6 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)"
Data Scientist Associate,Infosys,5-10 Yrs,8.5-18.5 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Infosys,5-10 Yrs,7-17 Lacs PA,Remote
Data Scientist Associate,Infinity Quest,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Infinity Quest,5-10 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,m,2-5 Yrs,2-3.5 Lacs PA,Hyderabad
Data Scientist Associate,Hanker Systems (india),3-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Quantium Analytics,3-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Quantium Analytics,5-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Talent Linked Consultancy,9-15 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Roche Diagnostics,8-12 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Nityo Infotech,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Engro Technologies,3-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Naukri E-hire Campaign,5-8 Yrs,10-16 Lacs PA,"Hyderabad, Bengaluru"
Data Scientist Associate,Pepsico,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Gurugram, Delhi / NCR"
Data Scientist Associate,"Technology, Information and Internet",6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Infinity Quest,5-8 Yrs,13-23 Lacs PA,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Radon Global Tech Services,10-20 Yrs,15-30 Lacs PA,"Hyderabad, Bengaluru"
Data Scientist Associate,Globant,4-9 Yrs,Not disclosed,"Indore, Hyderabad, Pune"
Data Scientist Associate,Amgen Inc,6-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Amazon,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Nityo Infotech,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Nityo Infotech,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Amazon,0-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Rasp It Consulting Services,8-12 Yrs,17-22.5 Lacs PA,Hyderabad
Data Scientist Associate,Infosys,5-10 Yrs,14-24 Lacs PA,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR"
Data Scientist Associate,DCM Infotech,8-13 Yrs,25-40 Lacs PA,Remote
Data Scientist Associate,RCI Logistics,3-5 Yrs,3-4 Lacs PA,Hyderabad(Kompally)
Data Scientist Associate,Dexian India Technologies,5-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,HCLTech,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Tiger Analytics,3-7 Yrs,7-17 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Purpletalk,3-5 Yrs,Not disclosed,Hyderabad(Kondapur)
Data Scientist Associate,Zensar,6-11 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Diverse Lynx,4-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Amgen Inc,2-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Aliqan Services,6-9 Yrs,12-22 Lacs PA,"Hyderabad, Bangalore Rural, Bengaluru"
Data Scientist Associate,Global leader in AI and Analytics.,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Infosys,10-16 Yrs,10-20 Lacs PA,"Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Genpact,4-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Investment Bank,5-10 Yrs,8-17 Lacs PA,"Hybrid - Hyderabad, Bengaluru"
Data Scientist Associate,Leokraft Technologies,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Acess Meditech,0-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Sanofi,1-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,India's Leading Retail Chain of Pharmacy,5-10 Yrs,25-35 Lacs PA,Hyderabad
Data Scientist Associate,MNC,4-9 Yrs,6-16 Lacs PA,Hyderabad
Data Scientist Associate,Dexian India Technologies,5-8 Yrs,18-25 Lacs PA,Hyderabad
Data Scientist Associate,Speshally NHS,2-7 Yrs,4-9 Lacs PA,Hyderabad
Data Scientist Associate,Y Axis,5-10 Yrs,5-15 Lacs PA,Hyderabad
Data Scientist Associate,Revalsys Technologies,5-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Leading Client,4-8 Yrs,Not disclosed,"Hyderabad, Ahmedabad"
Data Scientist Associate,Nuvento Systems,9-12 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Nuvento Systems,6-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Nuvento Systems,3-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Angel One,2-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,KPMG India,3-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Photon,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Tredence,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Persistent,8-12 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Tech Mahindra,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Teleperformance (TP),1-5 Yrs,7-9 Lacs PA,"Hyderabad, Gurugram"
Data Scientist Associate,Accenture,7-12 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Accenture,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,360DigiTMG,10-15 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Fusion Plus Solutions,1-4 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,8-13 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,9-11 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,5-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,4-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Colruyt It Consultancy India,4-11 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Nuvento Systems,3-8 Yrs,Not disclosed,"Mumbai, Hyderabad"
Data Scientist Associate,Tavant Technologies,5-8 Yrs,Not disclosed,"Hybrid - Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru"
Data Scientist Associate,Engro Technologies,3-7 Yrs,12-22 Lacs PA,Hyderabad
Data Scientist Associate,Tech Mahindra,5-10 Yrs,10-20 Lacs PA,"Hyderabad, Pune"
Data Scientist Associate,Virtusa,13-15 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Virtusa,6-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Angel One,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Acess Meditech,0-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Icare Academy,1-4 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Luxoft,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,360DigiTMG,3-4 Yrs,Not disclosed,"Hyderabad, Bengaluru"
Data Scientist Associate,Algonox Technologies,3-8 Yrs,8-18 Lacs PA,Hyderabad
Data Scientist Associate,dt,3-8 Yrs,4-7.5 Lacs PA,Hyderabad
Data Scientist Associate,Solugenix,10-15 Yrs,Not disclosed,"Indore, Hyderabad"
Data Scientist Associate,Hum Enterprise,4-7 Yrs,Not disclosed,"Hyderabad, Gurugram, Bengaluru"
Data Scientist Associate,Hum Enterprise,4-9 Yrs,Not disclosed,"Hyderabad, Gurugram, Bengaluru"
Data Scientist Associate,Leading Software Technologies,10-20 Yrs,22.5-37.5 Lacs PA,"Hybrid - Hyderabad, Bengaluru"
Data Scientist Associate,Aeries Technology,3-8 Yrs,Not disclosed,"Hyderabad, Bengaluru, Mumbai (All Areas)"
Data Scientist Associate,Quantium Analytics,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Pepsico,4-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Amgen Inc,4-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Pepsico,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Hoffmann-La Roche,3-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Pepsico,8-12 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Pepsico,5-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,SS&C Technologies,3-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Rarr Technologies,3-10 Yrs,Not disclosed,"Kolkata, Hyderabad, Bengaluru"
Data Scientist Associate,Revalsys Technologies,2-4 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Revalsys Technologies,3-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Greenbeen Technology,5-10 Yrs,8-18 Lacs PA,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Wipro,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,HERITAGE FOODS LIMITED,3-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Camp Systems Internationals Inc,3-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Aeries Technology,6-11 Yrs,Not disclosed,"Hyderabad, Bengaluru, Mumbai (All Areas)"
Data Scientist Associate,Tiger Analytics,4-6 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Tiger Analytics,3-7 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Tiger Analytics,6-10 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Tiger Analytics,2-6 Yrs,7-17 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Tiger Analytics,2-7 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Revolo Infotech,4-6 Yrs,Not disclosed,"Mumbai, Hyderabad"
Data Scientist Associate,Sadup Soft,6-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,IT Industry,8-12 Yrs,Not disclosed,"Bhubaneswar, Hyderabad, Bengaluru"
Data Scientist Associate,VN2 Solutions,6-8 Yrs,10-12 Lacs PA,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Accenture,5-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Leading Client,5-10 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Accenture,3-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Strategic Skill Tech,5-8 Yrs,Not disclosed,"Indore, Hyderabad, Ahmedabad"
Data Scientist Associate,CIELHR,2-5 Yrs,7-9 Lacs PA,Hybrid - Hyderabad
Data Scientist Associate,S&P Global Inc.,2-4 Yrs,Not disclosed,"Hyderabad, Gurugram"
Data Scientist Associate,S&P Global Inc.,2-5 Yrs,Not disclosed,"Hyderabad, Gurugram"
Data Scientist Associate,Rezultize,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Indium Software,2-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Amazon,1-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Bajaj Finserv Ltd.,1-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Rarr Technologies,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Fusion Plus Solutions,4-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Photon,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Leading Financial Consulting services,3-6 Yrs,4-6 Lacs PA,Hyderabad(HITEC City)
Data Scientist Associate,Lingaro Sp Z Oo,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,AI/ML Product & Consulting services company,6-11 Yrs,Not disclosed,Hyderabad(Raidurgam)
Data Scientist Associate,Xcel Hires Managment Solutions Pvt Ltd,4-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Zoom Start India,2-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Eleven Labs,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Aeries Technology,2-7 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru"
Data Scientist Associate,Collective S,1-3 Yrs,4.5-6.5 Lacs PA,Hyderabad
Data Scientist Associate,Capgemini,2-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Rightfit Resources Opc,2-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Brillio,9-14 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,TRA Augment People Solutions,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Ahmedabad, Chennai"
Data Scientist Associate,Inductive Quotient Analytics India,8-10 Yrs,30-45 Lacs PA,Hyderabad
Data Scientist Associate,Bahwan CyberTek,5-10 Yrs,5-15 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Aston Carter - Allegis Group,3-6 Yrs,4-5.5 Lacs PA,Hyderabad
Data Scientist Associate,S&P Global Inc.,7-13 Yrs,Not disclosed,"Hyderabad, Bengaluru"
Data Scientist Associate,Leading Client,6-9 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune"
Data Scientist Associate,Ntrix Innovations,7-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Precise Virtual Team,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Mindtree,5-10 Yrs,15-30 Lacs PA,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,eSoft labs,8-13 Yrs,25-40 Lacs PA,Hyderabad
Data Scientist Associate,Esoft labs,4-9 Yrs,10-20 Lacs PA,Hyderabad
Data Scientist Associate,Cyient,8-13 Yrs,30-45 Lacs PA,Hyderabad
Data Scientist Associate,Databuzzltd,7-10 Yrs,15-25 Lacs PA,Hyderabad
Data Scientist Associate,Persistent,8-13 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Photon,1-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Sensorflow,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Globant,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru"
Data Scientist Associate,Leading Client,2-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Epergne Solutions,3-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,tiket.com,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Pronix It Solutions,3-7 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Fusion Plus Solutions,5-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Fusion Plus Solutions,2-4 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Iitjobs Inc.,5-10 Yrs,"50,000-1.25 Lacs PA",Hyderabad
Data Scientist Associate,Amgen Inc,4-9 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Amgen Inc,6-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Accenture,3-8 Yrs,Not disclosed,"Mumbai, Hyderabad"
Data Scientist Associate,Sanofi,6-8 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Hungry Bird It Consulting Services,2-7 Yrs,2-6 Lacs PA,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Foundation Ai,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Amgen Inc,1-6 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Tiger Analytics,5-9 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru"
Data Scientist Associate,SPECTRAFORCE,14-20 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Empover,5-6 Yrs,10-12 Lacs PA,Hyderabad
Data Scientist Associate,Tech Mahindra,4-9 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Naukri E-hire Campaign,2-4 Yrs,5-16 Lacs PA,"Hyderabad, Pune, Coimbatore"
Data Scientist Associate,Zensar,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Response Informatics,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Riskspan,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,IntouchCX,2-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,IntouchCX,1-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Zetwerk,8-15 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,"Top B2B Corporate, Management Consulting Firm",1-2 Yrs,2.5-5 Lacs PA,Hyderabad
Data Scientist Associate,Tiger Analytics,4-7 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Optum,2-5 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Colruyt It Consultancy India,8-10 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Colruyt It Consultancy India,4-13 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Servicemax,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,Wipro,6-10 Yrs,8-18 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Precisiontech Global It Solutions Llp,8-13 Yrs,4.75-9.75 Lacs PA,"Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,Systechcorp Inc,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Data Scientist Associate,S&P Global Inc.,2-3 Yrs,Not disclosed,Hyderabad
Data Scientist Associate,Asian Institute Of Gastroenterology,4-9 Yrs,5-12 Lacs PA,Hyderabad(Gachibowli)
Data Scientist Associate,Infosys,9-14 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru"
Data Scientist Associate,KPMG Assurance and Consulting Services LLP,1-6 Yrs,8-18 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru"
Data Scientist Associate,IT Services,6-8 Yrs,Not disclosed,"Hyderabad, Bengaluru"
Data Scientist Associate,Kashsam Data Solutions,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
